ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
Dr.O TeaTree Deo 50ml,1,2,,1,2,,,20.96999931,,15,Exclusive,34.95000076,0,5060176672918,0,,,0,
Dr.O TeaTree M.W 500ml,1,2,,1,2,,,23.96999931,,15,Exclusive,39.95000076,0,5060176672994,0,,,0,
Dr.O TeaTree Shamp. 265ml,1,2,,1,2,,,27.60000038,,15,Exclusive,46,0,5060176671508,0,,,0,
Dr.O TeaTree Sk. Lotion 200ml,1,2,,1,2,,,34.79999924,,15,Exclusive,58,0,5060176671621,0,,,0,
Dr.O TeaTree T.paste,1,2,,1,2,,,23.96999931,,15,Exclusive,39.95000076,0,5060176671089,0,,,0,
Dr.O Vit. E Butter 200ml,1,2,,1,2,,,43.20000076,,15,Exclusive,72,0,5060176670488,0,,,0,
Dr.O Vit. E Deo,1,2,,1,2,,,20.96999931,,15,Exclusive,34.95000076,0,5060176670693,0,,,0,
Dr.O Vit. E Hyd. Cream,1,2,,1,2,,,43.79999924,,15,Exclusive,73,0,5060176670457,0,,,0,
Dr.O Vit. E St. Mark Cream,1,2,,1,2,,,36.59999847,,15,Exclusive,61,0,5060176671560,0,,,0,
Dr.O Vit. E Skin Lotion,1,2,,1,2,,,34.79999924,,15,Exclusive,58,0,5060176672161,0,,,0,
Dr.O Vit. E Shampoo,1,2,,1,2,,,27.60000038,,15,Exclusive,46,0,5060176672697,0,,,0,
Dr.O Argan Br. Firming Cream,1,2,,1,2,,,72,,15,Exclusive,120,0,5060176670631,0,,,0,
Dr.O Argan Anti-Aing system,1,2,,1,2,,,69,,15,Exclusive,115,0,5060176670990,0,,,0,
Cetaphil Dermacontrol lotion 120ml,1,1,,1,1,,,92.13999939,,0,Exclusive,135,0,5060176674660,0,,,0,
Cetaphil Gentle Cleanser 236ml,1,1,,1,1,,,59.84999847,,15,Exclusive,95,0,5060176676442,0,,,0,
Cetaphil Advance Lotion 225g,1,2,,1,2,,,77.39399719,,15,Exclusive,89,0,3499320005586,0,,,0,
Cetaphil Foam Wash  235ml,1,2,,1,2,,,75.23999786,,15,Exclusive,99,0,3499320005654,0,,,0,
Cetaphil Cleanser W Pump 236 ml,1,2,,1,2,,,77.39399719,,15,Exclusive,89,0,3499320007467,0,,,0,
Vichy Ideal Soleil Cream,1,2,,1,2,,,98.80999756,,15,Exclusive,140,0,3499320006668,0,,,0,
Vichy Ideal Soleil Emulsion,1,2,,1,2,,,101.0599976,,15,Exclusive,140,0,3499320005531,0,,,0,
H.Ess.Argan Sh.400ml,1,2,,1,2,,,9,,15,Exclusive,15.23799992,0,3337871324445,0,,,0,
H.Ess.Citrus Cond.360ml,1,2,,1,2,,,9.5,,15,Exclusive,15.23799992,0,3337871323622,0,,,0,
Chandrika Soap,1,2,,1,2,,,2.5,,15,Exclusive,5,0,4084500470521,0,,,0,
Seemly 250ml Mouth Wash,1,1,,1,1,,,9,,0,Exclusive,36,0,4084500635784,0,,,0,
Primalac  Premature 400GM,1,5,,1,5,,,43.61000061,,15,Exclusive,46.66699982,0,8901370000015,0,,,0,
Panasonic Beauty wh80,1,4,,1,4,,,1600.128052,,15,Exclusive,2160,0,0009343,0,,,0,
Hair Comb,1,2,,1,2,,,16.65999985,,15,Exclusive,17,0,8716200715720,0,,,0,
Novalac Alernova 400gm,1,5,,1,5,,,80.94999695,,15,Exclusive,88.57099915,0,8887549601309,0,,,0,
Novalac AR 1 400gm,1,5,,1,5,,,33.18999863,,15,Exclusive,38.09500122,0,4008576316484,0,,,0,
Novalac AR 2 400gm,1,5,,1,5,,,33.18999863,,15,Exclusive,40.86999893,0,3518071172047,0,,,0,
Seroquel xl 50mg 30tab,1,1,,1,1,,,42.83200073,,0,Exclusive,51.40000153,0,3518070212041,0,,,0,
Bronchicare 100ml Syrp,1,1,,1,1,,,32.00999832,,0,Exclusive,41.75,0,3518070222040,0,,,0,
Lumigan 3ml Eye Drop,1,1,,1,1,,,46.8370018,,0,Exclusive,56.20000076,0,0009350,0,,,0,
Bipreterax 5mg\1.25m tab,1,1,,1,1,,,62.43700027,,0,Exclusive,71.80000305,0,103143,0,,,0,
Treasure Soap,1,2,,1,2,,,12.5010004,,15,Exclusive,15,0,0009352,0,,,0,
Sugar lenses Daily,1,2,,1,2,,,24.04999924,,15,Exclusive,35,0,0009353,0,,,0,
Sugar lenses 3months,1,2,,1,2,,,87.75,,15,Exclusive,135,0,6253010100282,0,,,0,
Lux Secret Bliss Soap,1,2,,1,2,,,2.799999952,,15,Exclusive,4,0,0009355,0,,,0,
Beurer Digital Thermometer,1,6,,1,6,,,16,,15,Exclusive,30,0,0009356,0,,,0,
Bionnex Hand Cream 60 ml,1,2,,1,2,,,24.5,,15,Exclusive,49,0,6281006479708,0,,,0,
Bionnex Heel Cream 60 ml,1,2,,1,2,,,31,,15,Exclusive,62,0,4211125791155,0,,,0,
Bionnex Odor Foot Cream 60 ml,1,2,,1,2,,,31,,15,Exclusive,62,0,8680419312165,0,,,0,
Bionnex  Foot&Leg Gel 60 ml,1,2,,1,2,,,31,,15,Exclusive,62,0,8680419312189,0,,,0,
Bionnex Preventiva Sun Cream +50,1,2,,1,2,,,39.5,,15,Exclusive,79,0,8680419312196,0,,,0,
Bionnex Preventiva Sun Cream +100,1,2,,1,2,,,42.5,,15,Exclusive,85,0,8680419312202,0,,,0,
Bionnex Preventiva Sun Cream Kids +100,1,2,,1,2,,,42.5,,15,Exclusive,85,0,8680419312264,0,,,0,
Bionnex Preventiva Sunscreen Spray +50,1,2,,1,2,,,47.5,,15,Exclusive,95,0,8680419312882,0,,,0,
Bionnex Acnederm Foamin Gel 150ml,1,2,,1,2,,,38.5,,15,Exclusive,77,0,8680419312295,0,,,0,
Bionnex Acnederm Toner 250ml,1,2,,1,2,,,38.5,,15,Exclusive,77,0,8680419312301,0,,,0,
